"","Area","Element","Item","Value"
"2455","LATIN AMER. & CARIB","Production","Paper",28000
"2456","LATIN AMER. & CARIB","Import Quantity","Paper",18726
"2457","LATIN AMER. & CARIB","Export Quantity","Paper",448
"2458","LATIN AMER. & CARIB","Production","Paper",6000
"2459","LATIN AMER. & CARIB","Import Quantity","Paper",264
"2460","LATIN AMER. & CARIB","Export Quantity","Paper",3
"2461","LATIN AMER. & CARIB","Production","Paper",12000
"2462","LATIN AMER. & CARIB","Import Quantity","Paper",12434
"2463","LATIN AMER. & CARIB","Export Quantity","Paper",402
"2464","LATIN AMER. & CARIB","Production","Case materials",12000
"2465","LATIN AMER. & CARIB","Import Quantity","Case materials",984
"2466","LATIN AMER. & CARIB","Export Quantity","Case materials",399
"2468","LATIN AMER. & CARIB","Import Quantity","Cartonboard",6649
"2470","LATIN AMER. & CARIB","Import Quantity","Paper",4722
"2471","LATIN AMER. & CARIB","Export Quantity","Paper",3
"2473","LATIN AMER. & CARIB","Import Quantity","Paper",79
"2474","LATIN AMER. & CARIB","Production","Paper",10000
"2475","LATIN AMER. & CARIB","Import Quantity","Paper",6028
"2476","LATIN AMER. & CARIB","Export Quantity","Paper",43
"2477","LATIN AMER. & CARIB","Import Quantity","Wood fuel",83
"2478","LATIN AMER. & CARIB","Import Quantity","Roundwood",10
"2479","LATIN AMER. & CARIB","Import Quantity","Roundwood",17
"2480","LATIN AMER. & CARIB","Import Quantity","Roundwood",2216
"2481","LATIN AMER. & CARIB","Import Quantity","Wood fuel",343
"2482","LATIN AMER. & CARIB","Import Quantity","Wood residues",30
"2483","LATIN AMER. & CARIB","Export Quantity","Wood residues",26
"2484","LATIN AMER. & CARIB","Import Quantity","Sawnwood",13656
"2485","LATIN AMER. & CARIB","Import Quantity","Sawnwood",2462
"2486","LATIN AMER. & CARIB","Export Quantity","Sawnwood",2
"2487","LATIN AMER. & CARIB","Import Quantity","Veneer sheets",33
"2488","LATIN AMER. & CARIB","Import Quantity","Plywood",5599
"2489","LATIN AMER. & CARIB","Export Quantity","Plywood",25
"2490","LATIN AMER. & CARIB","Import Quantity","Particle board",38
"2491","LATIN AMER. & CARIB","Import Quantity","Hardboard",66
"2492","LATIN AMER. & CARIB","Import Quantity","MDF/HDF",1356
"2493","LATIN AMER. & CARIB","Import Quantity","Other fibreboard",309
"2494","LATIN AMER. & CARIB","Production","Paper",1600
"2495","LATIN AMER. & CARIB","Import Quantity","Paper",74
"2496","LATIN AMER. & CARIB","Export Quantity","Paper",1668
"2497","LATIN AMER. & CARIB","Import Quantity","Newsprint",2030
"2498","LATIN AMER. & CARIB","Import Quantity","Paper",2731
"2499","LATIN AMER. & CARIB","Export Quantity","Paper",40
"2500","LATIN AMER. & CARIB","Import Quantity","Paper",332
"2501","LATIN AMER. & CARIB","Export Quantity","Paper",2
"2502","LATIN AMER. & CARIB","Import Quantity","Paper",1803
"2503","LATIN AMER. & CARIB","Export Quantity","Paper",1
"2504","LATIN AMER. & CARIB","Import Quantity","Paper",596
"2505","LATIN AMER. & CARIB","Export Quantity","Paper",37
"2506","LATIN AMER. & CARIB","Import Quantity","Paper",1690
"2507","LATIN AMER. & CARIB","Export Quantity","Paper",52
"2508","LATIN AMER. & CARIB","Import Quantity","Paper",851
"2509","LATIN AMER. & CARIB","Export Quantity","Paper",28
"2510","LATIN AMER. & CARIB","Import Quantity","Paper",793
"2511","LATIN AMER. & CARIB","Export Quantity","Paper",24
"2512","LATIN AMER. & CARIB","Import Quantity","Case materials",601
"2513","LATIN AMER. & CARIB","Export Quantity","Case materials",24
"2514","LATIN AMER. & CARIB","Import Quantity","Cartonboard",20
"2515","LATIN AMER. & CARIB","Import Quantity","Paper",156
"2516","LATIN AMER. & CARIB","Import Quantity","Paper",16
"2517","LATIN AMER. & CARIB","Import Quantity","Paper",46
"2518","NEAR EAST","Production","Wood fuel",11561
"2519","NEAR EAST","Production","Wood fuel",1314
"2520","NEAR EAST","Import Quantity","Wood fuel",1723
"2522","NEAR EAST","Import Quantity","Roundwood",43
"2524","NEAR EAST","Import Quantity","Roundwood",371
"2526","NEAR EAST","Import Quantity","Roundwood",336
"2528","NEAR EAST","Production","Sawlogs and veneer logs",2601
"2529","NEAR EAST","Production","Sawlogs and veneer logs",206
"2532","NEAR EAST","Production","Roundwood",41
"2533","NEAR EAST","Production","Roundwood",15
"2534","NEAR EAST","Production","Wood fuel",2283
"2535","NEAR EAST","Import Quantity","Wood fuel",13336
"2537","NEAR EAST","Production","Wood chips and particles",1260
"2538","NEAR EAST","Import Quantity","Wood chips and particles",53
"2540","NEAR EAST","Production","Wood residues",2940
"2541","NEAR EAST","Import Quantity","Wood residues",1211
"2544","NEAR EAST","Import Quantity","Wood fuel",2130
"2547","NEAR EAST","Import Quantity","Other agglomerates",203
"2549","NEAR EAST","Production","Sawnwood",1585
"2550","NEAR EAST","Import Quantity","Sawnwood",31847
"2552","NEAR EAST","Production","Sawnwood",133
"2553","NEAR EAST","Import Quantity","Sawnwood",7915
"2555","NEAR EAST","Production","Veneer sheets",74
"2556","NEAR EAST","Import Quantity","Veneer sheets",10781
"2557","NEAR EAST","Export Quantity","Veneer sheets",133
"2558","NEAR EAST","Production","Plywood",6
"2559","NEAR EAST","Import Quantity","Plywood",10974
"2562","NEAR EAST","Import Quantity","Particle board",23036
"2565","NEAR EAST","Import Quantity","OSB",9446
"2568","NEAR EAST","Import Quantity","Hardboard",861
"2571","NEAR EAST","Import Quantity","MDF/HDF",18283
"2572","NEAR EAST","Export Quantity","MDF/HDF",7
"2574","NEAR EAST","Import Quantity","Other fibreboard",3489
"2577","NEAR EAST","Import Quantity","Wood pulp",23
"2583","NEAR EAST","Import Quantity","Wood pulp",68
"2589","NEAR EAST","Import Quantity","Wood pulp",68
"2603","NEAR EAST","Production","Paper",43627
"2604","NEAR EAST","Import Quantity","Paper",18
"2605","NEAR EAST","Export Quantity","Paper",43645
"2607","NEAR EAST","Import Quantity","Newsprint",4554
"2610","NEAR EAST","Import Quantity","Paper",22235
"2613","NEAR EAST","Import Quantity","Paper",1864
"2616","NEAR EAST","Import Quantity","Paper",10000
"2619","NEAR EAST","Import Quantity","Paper",10371
"2622","NEAR EAST","Import Quantity","Paper",26644
"2623","NEAR EAST","Export Quantity","Paper",48
"2625","NEAR EAST","Import Quantity","Paper",8171
"2628","NEAR EAST","Import Quantity","Paper",18325
"2629","NEAR EAST","Export Quantity","Paper",14
"2631","NEAR EAST","Import Quantity","Case materials",8692
"2634","NEAR EAST","Import Quantity","Cartonboard",7603
"2635","NEAR EAST","Export Quantity","Cartonboard",14
"2637","NEAR EAST","Import Quantity","Paper",1737
"2640","NEAR EAST","Import Quantity","Paper",293
"2643","NEAR EAST","Import Quantity","Paper",148
"2644","NEAR EAST","Export Quantity","Paper",34
"2645","EASTERN EUROPE","Production","Wood fuel",1550000
"2646","EASTERN EUROPE","Production","Wood fuel",840000
"2647","EASTERN EUROPE","Import Quantity","Wood fuel",10245
"2648","EASTERN EUROPE","Export Quantity","Wood fuel",140285
"2649","EASTERN EUROPE","Import Quantity","Roundwood",1992576
"2650","EASTERN EUROPE","Export Quantity","Roundwood",5439818
"2651","EASTERN EUROPE","Import Quantity","Roundwood",1524
"2653","EASTERN EUROPE","Import Quantity","Roundwood",594954
"2654","EASTERN EUROPE","Export Quantity","Roundwood",287850
"2655","EASTERN EUROPE","Production","Sawlogs and veneer logs",8572000
"2656","EASTERN EUROPE","Production","Sawlogs and veneer logs",502000
"2657","EASTERN EUROPE","Production","Pulpwood",4455000
"2658","EASTERN EUROPE","Production","Pulpwood",463000
"2659","EASTERN EUROPE","Production","Roundwood",69000
"2660","EASTERN EUROPE","Production","Roundwood",21000
"2661","EASTERN EUROPE","Production","Wood fuel",6000
"2662","EASTERN EUROPE","Import Quantity","Wood fuel",8696
"2663","EASTERN EUROPE","Export Quantity","Wood fuel",387
"2664","EASTERN EUROPE","Production","Wood chips and particles",764394
"2665","EASTERN EUROPE","Import Quantity","Wood chips and particles",463743
"2666","EASTERN EUROPE","Export Quantity","Wood chips and particles",301931
"2667","EASTERN EUROPE","Production","Wood residues",655606
"2668","EASTERN EUROPE","Import Quantity","Wood residues",329780
"2669","EASTERN EUROPE","Export Quantity","Wood residues",247646
"2670","EASTERN EUROPE","Production","Wood fuel",330000
"2671","EASTERN EUROPE","Import Quantity","Wood fuel",38787
"2672","EASTERN EUROPE","Export Quantity","Wood fuel",307247
"2673","EASTERN EUROPE","Production","Other agglomerates",142000
"2674","EASTERN EUROPE","Import Quantity","Other agglomerates",46915
"2675","EASTERN EUROPE","Export Quantity","Other agglomerates",132992
"2676","EASTERN EUROPE","Production","Sawnwood",3980000
"2677","EASTERN EUROPE","Import Quantity","Sawnwood",771357
"2678","EASTERN EUROPE","Export Quantity","Sawnwood",1537194
"2679","EASTERN EUROPE","Production","Sawnwood",233000
"2680","EASTERN EUROPE","Import Quantity","Sawnwood",97418
"2681","EASTERN EUROPE","Export Quantity","Sawnwood",28191
"2682","EASTERN EUROPE","Production","Veneer sheets",28000
"2683","EASTERN EUROPE","Import Quantity","Veneer sheets",70154
"2684","EASTERN EUROPE","Export Quantity","Veneer sheets",66756
"2685","EASTERN EUROPE","Production","Plywood",183000
"2686","EASTERN EUROPE","Import Quantity","Plywood",162839
"2687","EASTERN EUROPE","Export Quantity","Plywood",205237
"2688","EASTERN EUROPE","Production","Particle board",502000
"2689","EASTERN EUROPE","Import Quantity","Particle board",751841
"2690","EASTERN EUROPE","Export Quantity","Particle board",927565
"2691","EASTERN EUROPE","Production","OSB",540000
"2692","EASTERN EUROPE","Import Quantity","OSB",82066
"2693","EASTERN EUROPE","Export Quantity","OSB",341322
"2695","EASTERN EUROPE","Import Quantity","Hardboard",36895
"2696","EASTERN EUROPE","Export Quantity","Hardboard",2436
"2697","EASTERN EUROPE","Production","MDF/HDF",34000
"2698","EASTERN EUROPE","Import Quantity","MDF/HDF",99293
"2699","EASTERN EUROPE","Export Quantity","MDF/HDF",45339
"2700","EASTERN EUROPE","Production","Other fibreboard",13000
"2701","EASTERN EUROPE","Import Quantity","Other fibreboard",35564
"2702","EASTERN EUROPE","Export Quantity","Other fibreboard",29747
"2704","EASTERN EUROPE","Import Quantity","Wood pulp",210
"2705","EASTERN EUROPE","Export Quantity","Wood pulp",12
"2707","EASTERN EUROPE","Import Quantity","Wood pulp",7
"2709","EASTERN EUROPE","Production","Wood pulp",445000
"2710","EASTERN EUROPE","Import Quantity","Wood pulp",210706
"2711","EASTERN EUROPE","Export Quantity","Wood pulp",12160
"2712","EASTERN EUROPE","Production","Wood pulp",261000
"2713","EASTERN EUROPE","Import Quantity","Wood pulp",4138
"2715","EASTERN EUROPE","Production","Wood pulp",184000
"2716","EASTERN EUROPE","Import Quantity","Wood pulp",204338
"2717","EASTERN EUROPE","Export Quantity","Wood pulp",11999
"2719","EASTERN EUROPE","Import Quantity","Wood pulp",24
"2722","EASTERN EUROPE","Import Quantity","Wood pulp",2206
"2723","EASTERN EUROPE","Export Quantity","Wood pulp",161
"2724","EASTERN EUROPE","Production","Wood pulp",254000
"2725","EASTERN EUROPE","Import Quantity","Wood pulp",742
"2726","EASTERN EUROPE","Export Quantity","Wood pulp",250504
"2727","EASTERN EUROPE","Production","Pulp from fibres other than wood",4000
"2728","EASTERN EUROPE","Import Quantity","Pulp from fibres other than wood",758
"2729","EASTERN EUROPE","Export Quantity","Pulp from fibres other than wood",4576
"2730","EASTERN EUROPE","Production","Paper",1004000
"2731","EASTERN EUROPE","Import Quantity","Paper",55028
"2732","EASTERN EUROPE","Export Quantity","Paper",737935
"2734","EASTERN EUROPE","Import Quantity","Newsprint",107859
"2735","EASTERN EUROPE","Export Quantity","Newsprint",4133
"2736","EASTERN EUROPE","Production","Paper",61000
"2737","EASTERN EUROPE","Import Quantity","Paper",461113
"2738","EASTERN EUROPE","Export Quantity","Paper",72294
"2740","EASTERN EUROPE","Import Quantity","Paper",107610
"2741","EASTERN EUROPE","Export Quantity","Paper",1165
"2742","EASTERN EUROPE","Production","Paper",58000
"2743","EASTERN EUROPE","Import Quantity","Paper",161592
"2744","EASTERN EUROPE","Export Quantity","Paper",66516
"2745","EASTERN EUROPE","Production","Paper",3000
"2746","EASTERN EUROPE","Import Quantity","Paper",191911
"2747","EASTERN EUROPE","Export Quantity","Paper",4613
"2748","EASTERN EUROPE","Production","Paper",734000
"2749","EASTERN EUROPE","Import Quantity","Paper",1028654
"2750","EASTERN EUROPE","Export Quantity","Paper",781799
"2751","EASTERN EUROPE","Production","Paper",3000
"2752","EASTERN EUROPE","Import Quantity","Paper",33217
"2753","EASTERN EUROPE","Export Quantity","Paper",1851
"2754","EASTERN EUROPE","Production","Paper",655000
"2755","EASTERN EUROPE","Import Quantity","Paper",969749
"2756","EASTERN EUROPE","Export Quantity","Paper",744715
"2757","EASTERN EUROPE","Production","Case materials",184000
"2758","EASTERN EUROPE","Import Quantity","Case materials",586110
"2759","EASTERN EUROPE","Export Quantity","Case materials",149389
"2760","EASTERN EUROPE","Production","Cartonboard",34000
"2761","EASTERN EUROPE","Import Quantity","Cartonboard",162616
"2762","EASTERN EUROPE","Export Quantity","Cartonboard",76597
"2763","EASTERN EUROPE","Production","Paper",437000
"2764","EASTERN EUROPE","Import Quantity","Paper",167063
"2765","EASTERN EUROPE","Export Quantity","Paper",508819
"2767","EASTERN EUROPE","Import Quantity","Paper",53960
"2768","EASTERN EUROPE","Export Quantity","Paper",9910
"2769","EASTERN EUROPE","Production","Paper",76000
"2770","EASTERN EUROPE","Import Quantity","Paper",25688
"2771","EASTERN EUROPE","Export Quantity","Paper",35233
"2772","ASIA (EX. NEAR EAST)","Production","Wood fuel",3925763
"2773","ASIA (EX. NEAR EAST)","Production","Wood fuel",2243293
"2774","ASIA (EX. NEAR EAST)","Import Quantity","Wood fuel",38
"2775","ASIA (EX. NEAR EAST)","Export Quantity","Wood fuel",35
"2776","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",40503
"2777","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",168196
"2778","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",1881
"2779","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",1879
"2780","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",27728
"2781","ASIA (EX. NEAR EAST)","Production","Sawlogs and veneer logs",6e+05
"2782","ASIA (EX. NEAR EAST)","Production","Sawlogs and veneer logs",4e+05
"2783","ASIA (EX. NEAR EAST)","Production","Roundwood",5e+05
"2784","ASIA (EX. NEAR EAST)","Production","Wood fuel",164445
"2785","ASIA (EX. NEAR EAST)","Import Quantity","Wood fuel",42
"2786","ASIA (EX. NEAR EAST)","Export Quantity","Wood fuel",355
"2787","ASIA (EX. NEAR EAST)","Import Quantity","Wood chips and particles",36
"2788","ASIA (EX. NEAR EAST)","Export Quantity","Wood chips and particles",161
"2789","ASIA (EX. NEAR EAST)","Import Quantity","Wood residues",20
"2790","ASIA (EX. NEAR EAST)","Export Quantity","Wood residues",20400
"2791","ASIA (EX. NEAR EAST)","Import Quantity","Wood fuel",3761
"2792","ASIA (EX. NEAR EAST)","Production","Sawnwood",185000
"2793","ASIA (EX. NEAR EAST)","Import Quantity","Sawnwood",5
"2794","ASIA (EX. NEAR EAST)","Export Quantity","Sawnwood",10370
"2795","ASIA (EX. NEAR EAST)","Production","Sawnwood",95000
"2796","ASIA (EX. NEAR EAST)","Import Quantity","Sawnwood",709
"2797","ASIA (EX. NEAR EAST)","Export Quantity","Sawnwood",1159
"2798","ASIA (EX. NEAR EAST)","Import Quantity","Veneer sheets",11
"2799","ASIA (EX. NEAR EAST)","Export Quantity","Veneer sheets",108
"2800","ASIA (EX. NEAR EAST)","Import Quantity","Plywood",10646
"2801","ASIA (EX. NEAR EAST)","Export Quantity","Plywood",15
"2802","ASIA (EX. NEAR EAST)","Import Quantity","Particle board",19
"2803","ASIA (EX. NEAR EAST)","Export Quantity","Particle board",2
"2804","ASIA (EX. NEAR EAST)","Import Quantity","OSB",145
"2805","ASIA (EX. NEAR EAST)","Import Quantity","Hardboard",49
"2806","ASIA (EX. NEAR EAST)","Import Quantity","MDF/HDF",3907
"2807","ASIA (EX. NEAR EAST)","Export Quantity","MDF/HDF",50
"2808","ASIA (EX. NEAR EAST)","Import Quantity","Other fibreboard",6
"2809","ASIA (EX. NEAR EAST)","Production","Wood pulp",13000
"2810","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",33
"2811","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",100
"2812","ASIA (EX. NEAR EAST)","Production","Wood pulp",43000
"2813","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",2716
"2814","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",536
"2815","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",1174
"2816","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",1177
"2817","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",536
"2818","ASIA (EX. NEAR EAST)","Production","Wood pulp",43000
"2819","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",290
"2820","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",75
"2821","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",70
"2823","ASIA (EX. NEAR EAST)","Production","Pulp from fibres other than wood",50000
"2824","ASIA (EX. NEAR EAST)","Import Quantity","Pulp from fibres other than wood",40
"2825","ASIA (EX. NEAR EAST)","Export Quantity","Pulp from fibres other than wood",14
"2826","ASIA (EX. NEAR EAST)","Import Quantity","Paper",50
"2827","ASIA (EX. NEAR EAST)","Export Quantity","Paper",94
"2828","ASIA (EX. NEAR EAST)","Import Quantity","Newsprint",4774
"2829","ASIA (EX. NEAR EAST)","Export Quantity","Newsprint",852
"2830","ASIA (EX. NEAR EAST)","Import Quantity","Paper",14436
"2831","ASIA (EX. NEAR EAST)","Export Quantity","Paper",682
"2832","ASIA (EX. NEAR EAST)","Import Quantity","Paper",392
"2833","ASIA (EX. NEAR EAST)","Export Quantity","Paper",393
"2834","ASIA (EX. NEAR EAST)","Import Quantity","Paper",9263
"2835","ASIA (EX. NEAR EAST)","Export Quantity","Paper",42
"2836","ASIA (EX. NEAR EAST)","Import Quantity","Paper",4781
"2837","ASIA (EX. NEAR EAST)","Export Quantity","Paper",247
"2838","ASIA (EX. NEAR EAST)","Production","Paper",80000
"2839","ASIA (EX. NEAR EAST)","Import Quantity","Paper",11790
"2840","ASIA (EX. NEAR EAST)","Export Quantity","Paper",1137
"2841","ASIA (EX. NEAR EAST)","Import Quantity","Paper",60
"2842","ASIA (EX. NEAR EAST)","Export Quantity","Paper",2
"2843","ASIA (EX. NEAR EAST)","Import Quantity","Paper",8557
"2844","ASIA (EX. NEAR EAST)","Export Quantity","Paper",1008
"2845","ASIA (EX. NEAR EAST)","Import Quantity","Case materials",622
"2846","ASIA (EX. NEAR EAST)","Export Quantity","Case materials",1
"2847","ASIA (EX. NEAR EAST)","Import Quantity","Cartonboard",4489
"2848","ASIA (EX. NEAR EAST)","Export Quantity","Cartonboard",51
"2849","ASIA (EX. NEAR EAST)","Import Quantity","Paper",3442
"2850","ASIA (EX. NEAR EAST)","Export Quantity","Paper",939
"2851","ASIA (EX. NEAR EAST)","Import Quantity","Paper",4
"2852","ASIA (EX. NEAR EAST)","Export Quantity","Paper",17
"2853","ASIA (EX. NEAR EAST)","Production","Paper",80000
"2854","ASIA (EX. NEAR EAST)","Import Quantity","Paper",3173
"2855","ASIA (EX. NEAR EAST)","Export Quantity","Paper",127
"2857","ASIA (EX. NEAR EAST)","Production","Wood fuel",83537838
"2858","ASIA (EX. NEAR EAST)","Import Quantity","Wood fuel",30
"2859","ASIA (EX. NEAR EAST)","Export Quantity","Wood fuel",25
"2860","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",288
"2861","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",1288
"2862","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",5
"2863","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",82040
"2864","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",22
"2865","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",65123
"2866","ASIA (EX. NEAR EAST)","Production","Sawlogs and veneer logs",329013
"2867","ASIA (EX. NEAR EAST)","Production","Roundwood",4282000
"2868","ASIA (EX. NEAR EAST)","Production","Wood fuel",2475018
"2869","ASIA (EX. NEAR EAST)","Import Quantity","Wood fuel",6
"2870","ASIA (EX. NEAR EAST)","Export Quantity","Wood fuel",20
"2871","ASIA (EX. NEAR EAST)","Import Quantity","Wood chips and particles",2
"2872","ASIA (EX. NEAR EAST)","Export Quantity","Wood chips and particles",45
"2873","ASIA (EX. NEAR EAST)","Import Quantity","Wood residues",26
"2874","ASIA (EX. NEAR EAST)","Export Quantity","Wood residues",8
"2875","ASIA (EX. NEAR EAST)","Import Quantity","Sawnwood",320
"2877","ASIA (EX. NEAR EAST)","Production","Sawnwood",150000
"2878","ASIA (EX. NEAR EAST)","Import Quantity","Sawnwood",590
"2879","ASIA (EX. NEAR EAST)","Export Quantity","Sawnwood",71000
"2880","ASIA (EX. NEAR EAST)","Production","Veneer sheets",3490
"2881","ASIA (EX. NEAR EAST)","Import Quantity","Veneer sheets",3
"2882","ASIA (EX. NEAR EAST)","Export Quantity","Veneer sheets",2870
"2883","ASIA (EX. NEAR EAST)","Production","Plywood",1000
"2884","ASIA (EX. NEAR EAST)","Import Quantity","Plywood",250
"2885","ASIA (EX. NEAR EAST)","Export Quantity","Plywood",205
"2887","ASIA (EX. NEAR EAST)","Import Quantity","Particle board",202
"2888","ASIA (EX. NEAR EAST)","Export Quantity","Particle board",16
"2889","ASIA (EX. NEAR EAST)","Import Quantity","OSB",22
"2890","ASIA (EX. NEAR EAST)","Import Quantity","Hardboard",9
"2891","ASIA (EX. NEAR EAST)","Import Quantity","MDF/HDF",272
"2892","ASIA (EX. NEAR EAST)","Export Quantity","MDF/HDF",45
"2893","ASIA (EX. NEAR EAST)","Import Quantity","Other fibreboard",3
"2894","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",5
"2895","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",108
"2896","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",252
"2897","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",59
"2898","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",2
"2899","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",243
"2900","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",59
"2901","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",7
"2902","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",1
"2903","ASIA (EX. NEAR EAST)","Import Quantity","Pulp from fibres other than wood",41
"2904","ASIA (EX. NEAR EAST)","Export Quantity","Pulp from fibres other than wood",3
"2905","ASIA (EX. NEAR EAST)","Import Quantity","Paper",70
"2906","ASIA (EX. NEAR EAST)","Export Quantity","Paper",25
"2907","ASIA (EX. NEAR EAST)","Import Quantity","Newsprint",451
"2908","ASIA (EX. NEAR EAST)","Export Quantity","Newsprint",5
"2909","ASIA (EX. NEAR EAST)","Import Quantity","Paper",7686
"2910","ASIA (EX. NEAR EAST)","Export Quantity","Paper",225
"2911","ASIA (EX. NEAR EAST)","Import Quantity","Paper",732
"2912","ASIA (EX. NEAR EAST)","Export Quantity","Paper",57
"2913","ASIA (EX. NEAR EAST)","Import Quantity","Paper",5573
"2914","ASIA (EX. NEAR EAST)","Export Quantity","Paper",87
"2915","ASIA (EX. NEAR EAST)","Import Quantity","Paper",1381
"2916","ASIA (EX. NEAR EAST)","Export Quantity","Paper",81
"2917","ASIA (EX. NEAR EAST)","Production","Paper",3000
"2918","ASIA (EX. NEAR EAST)","Import Quantity","Paper",2968
"2919","ASIA (EX. NEAR EAST)","Export Quantity","Paper",296
"2920","ASIA (EX. NEAR EAST)","Import Quantity","Paper",140
"2921","ASIA (EX. NEAR EAST)","Import Quantity","Paper",2372
"2922","ASIA (EX. NEAR EAST)","Export Quantity","Paper",288
"2923","ASIA (EX. NEAR EAST)","Import Quantity","Case materials",1212
"2924","ASIA (EX. NEAR EAST)","Export Quantity","Case materials",148
"2925","ASIA (EX. NEAR EAST)","Import Quantity","Cartonboard",830
"2926","ASIA (EX. NEAR EAST)","Export Quantity","Cartonboard",127
"2927","ASIA (EX. NEAR EAST)","Import Quantity","Paper",302
"2928","ASIA (EX. NEAR EAST)","Export Quantity","Paper",13
"2929","ASIA (EX. NEAR EAST)","Import Quantity","Paper",28
"2930","ASIA (EX. NEAR EAST)","Production","Paper",3000
"2931","ASIA (EX. NEAR EAST)","Import Quantity","Paper",456
"2932","ASIA (EX. NEAR EAST)","Export Quantity","Paper",8
"2933","WESTERN EUROPE","Production","Wood fuel",1357500
"2934","WESTERN EUROPE","Production","Wood fuel",703600
"2935","WESTERN EUROPE","Import Quantity","Wood fuel",101782
"2936","WESTERN EUROPE","Export Quantity","Wood fuel",166630
"2937","WESTERN EUROPE","Import Quantity","Roundwood",129880
"2938","WESTERN EUROPE","Export Quantity","Roundwood",530976
"2939","WESTERN EUROPE","Import Quantity","Roundwood",1253
"2940","WESTERN EUROPE","Export Quantity","Roundwood",683
"2941","WESTERN EUROPE","Import Quantity","Roundwood",253495
"2942","WESTERN EUROPE","Export Quantity","Roundwood",135291
"2943","WESTERN EUROPE","Production","Sawlogs and veneer logs",928400
"2944","WESTERN EUROPE","Production","Sawlogs and veneer logs",141500
"2945","WESTERN EUROPE","Production","Pulpwood",313600
"2946","WESTERN EUROPE","Production","Pulpwood",67200
"2947","WESTERN EUROPE","Production","Roundwood",313600
"2948","WESTERN EUROPE","Production","Roundwood",16700
"2950","WESTERN EUROPE","Import Quantity","Wood fuel",10588
"2951","WESTERN EUROPE","Export Quantity","Wood fuel",2127
"2952","WESTERN EUROPE","Production","Wood chips and particles",168030
"2953","WESTERN EUROPE","Import Quantity","Wood chips and particles",240000
"2954","WESTERN EUROPE","Export Quantity","Wood chips and particles",18000
"2956","WESTERN EUROPE","Import Quantity","Wood residues",48000
"2957","WESTERN EUROPE","Export Quantity","Wood residues",14000
"2958","WESTERN EUROPE","Production","Wood fuel",150000
"2959","WESTERN EUROPE","Import Quantity","Wood fuel",2053000
"2960","WESTERN EUROPE","Export Quantity","Wood fuel",215000
"2962","WESTERN EUROPE","Import Quantity","Other agglomerates",90721
"2963","WESTERN EUROPE","Export Quantity","Other agglomerates",237
"2964","WESTERN EUROPE","Production","Sawnwood",320000
"2965","WESTERN EUROPE","Import Quantity","Sawnwood",1535000
"2966","WESTERN EUROPE","Export Quantity","Sawnwood",165400
"2967","WESTERN EUROPE","Production","Sawnwood",66887
"2968","WESTERN EUROPE","Import Quantity","Sawnwood",99000
"2969","WESTERN EUROPE","Export Quantity","Sawnwood",64871
"2970","WESTERN EUROPE","Production","Veneer sheets",79760
"2971","WESTERN EUROPE","Import Quantity","Veneer sheets",49571
"2972","WESTERN EUROPE","Export Quantity","Veneer sheets",6274
"2974","WESTERN EUROPE","Import Quantity","Plywood",241581
"2975","WESTERN EUROPE","Export Quantity","Plywood",11116
"2976","WESTERN EUROPE","Production","Particle board",346000
"2977","WESTERN EUROPE","Import Quantity","Particle board",369184
"2978","WESTERN EUROPE","Export Quantity","Particle board",133579
"2980","WESTERN EUROPE","Import Quantity","OSB",28929
"2981","WESTERN EUROPE","Export Quantity","OSB",507
"2983","WESTERN EUROPE","Import Quantity","Hardboard",48104
"2984","WESTERN EUROPE","Export Quantity","Hardboard",477
"2986","WESTERN EUROPE","Import Quantity","MDF/HDF",86293
